YYYYMMDD,19760923
DDYYYYMM hhmmss.sss-hh:mm,23197609 111111.888-11:11
DDYYYYMM hhmmss.sss-hhmm,23197609 111111.888-1111
DDYYYYMM hhmmss.sss-hh,23197609 111111.888-11
DDYYYYMMThh:mmZ,23197609T11:11Z
DDYYYYMMThh:mm+hh:mm,23197609T11:11+11:11
DDYYYYMMThh:mm+hhmm,23197609T11:11+1111
DDYYYYMMThh:mm+hh,23197609T11:11+11
DDYYYYMMThh:mm-hh:mm,23197609T11:11-11:11
DDYYYYMMThh:mm-hhmm,23197609T11:11-1111
DDYYYYMMThh:mm-hh,23197609T11:11-11
DDYYYYMM hh:mmZ,23197609 11:11Z
DDYYYYMM hh:mm+hh:mm,23197609 11:11+11:11
DDYYYYMM hh:mm+hhmm,23197609 11:11+1111
DDYYYYMM hh:mm+hh,23197609 11:11+11
DDYYYYMM hh:mm-hh:mm,23197609 11:11-11:11
DDYYYYMM hh:mm-hhmm,23197609 11:11-1111
DDYYYYMM hh:mm-hh,23197609 11:11-11
DDYYYYMMThh:mm:ssZ,23197609T11:11:11Z
DDYYYYMMThh:mm:ss+hh:mm,23197609T11:11:11+11:11
DDYYYYMMThh:mm:ss+hhmm,23197609T11:11:11+1111
DDYYYYMMThh:mm:ss+hh,23197609T11:11:11+11
DDYYYYMMThh:mm:ss-hh:mm,23197609T11:11:11-11:11
DDYYYYMMThh:mm:ss-hhmm,23197609T11:11:11-1111
DDYYYYMMThh:mm:ss-hh,23197609T11:11:11-11
DDYYYYMM hh:mm:ssZ,23197609 11:11:11Z
DDYYYYMM hh:mm:ss+hh:mm,23197609 11:11:11+11:11
DDYYYYMM hh:mm:ss+hhmm,23197609 11:11:11+1111
DDYYYYMM hh:mm:ss+hh,23197609 11:11:11+11
DDYYYYMM hh:mm:ss-hh:mm,23197609 11:11:11-11:11
DDYYYYMM hh:mm:ss-hhmm,23197609 11:11:11-1111
DDYYYYMM hh:mm:ss-hh,23197609 11:11:11-11
DDYYYYMMThh:mm:ss.sssZ,23197609T11:11:11.888Z
DDYYYYMMThh:mm:ss.sss+hh:mm,23197609T11:11:11.888+11:11
DDYYYYMMThh:mm:ss.sss+hhmm,23197609T11:11:11.888+1111
DDYYYYMMThh:mm:ss.sss+hh,23197609T11:11:11.888+11
DDYYYYMMThh:mm:ss.sss-hh:mm,23197609T11:11:11.888-11:11
DDYYYYMMThh:mm:ss.sss-hhmm,23197609T11:11:11.888-1111
DDYYYYMMThh:mm:ss.sss-hh,23197609T11:11:11.888-11
DDYYYYMM hh:mm:ss.sssZ,23197609 11:11:11.888Z
DDYYYYMM hh:mm:ss.sss+hh:mm,23197609 11:11:11.888+11:11
DDYYYYMM hh:mm:ss.sss+hhmm,23197609 11:11:11.888+1111
DDYYYYMM hh:mm:ss.sss+hh,23197609 11:11:11.888+11
DDYYYYMM hh:mm:ss.sss-hh:mm,23197609 11:11:11.888-11:11
DDYYYYMM hh:mm:ss.sss-hhmm,23197609 11:11:11.888-1111
DDYYYYMM hh:mm:ss.sss-hh,23197609 11:11:11.888-11
DD/YYYY/MMThhZ,23/1976/09T11Z
DD/YYYY/MMThh+hh:mm,23/1976/09T11+11:11
DD/YYYY/MMThh+hhmm,23/1976/09T11+1111
DD/YYYY/MMThh+hh,23/1976/09T11+11
DD/YYYY/MMThh-hh:mm,23/1976/09T11-11:11
DD/YYYY/MMThh-hhmm,23/1976/09T11-1111
DD/YYYY/MMThh-hh,23/1976/09T11-11
DD/YYYY/MM hhZ,23/1976/09 11Z
DD/YYYY/MM hh+hh:mm,23/1976/09 11+11:11
DD/YYYY/MM hh+hhmm,23/1976/09 11+1111
DD/YYYY/MM hh+hh,23/1976/09 11+11
DD/YYYY/MM hh-hh:mm,23/1976/09 11-11:11
DD/YYYY/MM hh-hhmm,23/1976/09 11-1111
DD/YYYY/MM hh-hh,23/1976/09 11-11
DD/YYYY/MMThhmmZ,23/1976/09T1111Z
DD/YYYY/MMThhmm+hh:mm,23/1976/09T1111+11:11
DD/YYYY/MMThhmm+hhmm,23/1976/09T1111+1111
DD/YYYY/MMThhmm+hh,23/1976/09T1111+11
DD/YYYY/MMThhmm-hh:mm,23/1976/09T1111-11:11
DD/YYYY/MMThhmm-hhmm,23/1976/09T1111-1111
DD/YYYY/MMThhmm-hh,23/1976/09T1111-11
DD/YYYY/MM hhmmZ,23/1976/09 1111Z
DD/YYYY/MM hhmm+hh:mm,23/1976/09 1111+11:11
DD/YYYY/MM hhmm+hhmm,23/1976/09 1111+1111
DD/YYYY/MM hhmm+hh,23/1976/09 1111+11
DD/YYYY/MM hhmm-hh:mm,23/1976/09 1111-11:11
DD/YYYY/MM hhmm-hhmm,23/1976/09 1111-1111
DD/YYYY/MM hhmm-hh,23/1976/09 1111-11
DD/YYYY/MMThhmmssZ,23/1976/09T111111Z
DD/YYYY/MMThhmmss+hh:mm,23/1976/09T111111+11:11
DD/YYYY/MMThhmmss+hhmm,23/1976/09T111111+1111
DD/YYYY/MMThhmmss+hh,23/1976/09T111111+11
DD/YYYY/MMThhmmss-hh:mm,23/1976/09T111111-11:11
DD/YYYY/MMThhmmss-hhmm,23/1976/09T111111-1111
DD/YYYY/MMThhmmss-hh,23/1976/09T111111-11
DD/YYYY/MM hhmmssZ,23/1976/09 111111Z
DD/YYYY/MM hhmmss+hh:mm,23/1976/09 111111+11:11
DD/YYYY/MM hhmmss+hhmm,23/1976/09 111111+1111
DD/YYYY/MM hhmmss+hh,23/1976/09 111111+11
DD/YYYY/MM hhmmss-hh:mm,23/1976/09 111111-11:11
DD/YYYY/MM hhmmss-hhmm,23/1976/09 111111-1111
DD/YYYY/MM hhmmss-hh,23/1976/09 111111-11
DD/YYYY/MMThhmmss.sssZ,23/1976/09T111111.888Z
DD/YYYY/MMThhmmss.sss+hh:mm,23/1976/09T111111.888+11:11
DD/YYYY/MMThhmmss.sss+hhmm,23/1976/09T111111.888+1111
DD/YYYY/MMThhmmss.sss+hh,23/1976/09T111111.888+11
DD/YYYY/MMThhmmss.sss-hh:mm,23/1976/09T111111.888-11:11
DD/YYYY/MMThhmmss.sss-hhmm,23/1976/09T111111.888-1111
DD/YYYY/MMThhmmss.sss-hh,23/1976/09T111111.888-11
DD/YYYY/MM hhmmss.sssZ,23/1976/09 111111.888Z
DD/YYYY/MM hhmmss.sss+hh:mm,23/1976/09 111111.888+11:11
DD/YYYY/MM hhmmss.sss+hhmm,23/1976/09 111111.888+1111
DD/YYYY/MM hhmmss.sss+hh,23/1976/09 111111.888+11
DD/YYYY/MM hhmmss.sss-hh:mm,23/1976/09 111111.888-11:11
DD/YYYY/MM hhmmss.sss-hhmm,23/1976/09 111111.888-1111
DD/YYYY/MM hhmmss.sss-hh,23/1976/09 111111.888-11
DD/YYYY/MMThh:mmZ,23/1976/09T11:11Z
DD/YYYY/MMThh:mm+hh:mm,23/1976/09T11:11+11:11
DD/YYYY/MMThh:mm+hhmm,23/1976/09T11:11+1111
DD/YYYY/MMThh:mm+hh,23/1976/09T11:11+11
DD/YYYY/MMThh:mm-hh:mm,23/1976/09T11:11-11:11
DD/YYYY/MMThh:mm-hhmm,23/1976/09T11:11-1111
DD/YYYY/MMThh:mm-hh,23/1976/09T11:11-11
DD/YYYY/MM hh:mmZ,23/1976/09 11:11Z
DD/YYYY/MM hh:mm+hh:mm,23/1976/09 11:11+11:11
DD/YYYY/MM hh:mm+hhmm,23/1976/09 11:11+1111
DD/YYYY/MM hh:mm+hh,23/1976/09 11:11+11
DD/YYYY/MM hh:mm-hh:mm,23/1976/09 11:11-11:11
DD/YYYY/MM hh:mm-hhmm,23/1976/09 11:11-1111
DD/YYYY/MM hh:mm-hh,23/1976/09 11:11-11
DD/YYYY/MMThh:mm:ssZ,23/1976/09T11:11:11Z
DD/YYYY/MMThh:mm:ss+hh:mm,23/1976/09T11:11:11+11:11
DD/YYYY/MMThh:mm:ss+hhmm,23/1976/09T11:11:11+1111
DD/YYYY/MMThh:mm:ss+hh,23/1976/09T11:11:11+11
DD/YYYY/MMThh:mm:ss-hh:mm,23/1976/09T11:11:11-11:11
DD/YYYY/MMThh:mm:ss-hhmm,23/1976/09T11:11:11-1111
DD/YYYY/MMThh:mm:ss-hh,23/1976/09T11:11:11-11
DD/YYYY/MM hh:mm:ssZ,23/1976/09 11:11:11Z
DD/YYYY/MM hh:mm:ss+hh:mm,23/1976/09 11:11:11+11:11
DD/YYYY/MM hh:mm:ss+hhmm,23/1976/09 11:11:11+1111
DD/YYYY/MM hh:mm:ss+hh,23/1976/09 11:11:11+11
DD/YYYY/MM hh:mm:ss-hh:mm,23/1976/09 11:11:11-11:11
DD/YYYY/MM hh:mm:ss-hhmm,23/1976/09 11:11:11-1111
DD/YYYY/MM hh:mm:ss-hh,23/1976/09 11:11:11-11
DD/YYYY/MMThh:mm:ss.sssZ,23/1976/09T11:11:11.888Z
DD/YYYY/MMThh:mm:ss.sss+hh:mm,23/1976/09T11:11:11.888+11:11
DD/YYYY/MMThh:mm:ss.sss+hhmm,23/1976/09T11:11:11.888+1111
DD/YYYY/MMThh:mm:ss.sss+hh,23/1976/09T11:11:11.888+11
DD/YYYY/MMThh:mm:ss.sss-hh:mm,23/1976/09T11:11:11.888-11:11
DD/YYYY/MMThh:mm:ss.sss-hhmm,23/1976/09T11:11:11.888-1111
DD/YYYY/MMThh:mm:ss.sss-hh,23/1976/09T11:11:11.888-11
DD/YYYY/MM hh:mm:ss.sssZ,23/1976/09 11:11:11.888Z
DD/YYYY/MM hh:mm:ss.sss+hh:mm,23/1976/09 11:11:11.888+11:11
DD/YYYY/MM hh:mm:ss.sss+hhmm,23/1976/09 11:11:11.888+1111
DD/YYYY/MM hh:mm:ss.sss+hh,23/1976/09 11:11:11.888+11
DD/YYYY/MM hh:mm:ss.sss-hh:mm,23/1976/09 11:11:11.888-11:11
DD/YYYY/MM hh:mm:ss.sss-hhmm,23/1976/09 11:11:11.888-1111
DD/YYYY/MM hh:mm:ss.sss-hh,23/1976/09 11:11:11.888-11
DD-YYYY-MMThhZ,23-1976-09T11Z
DD-YYYY-MMThh+hh:mm,23-1976-09T11+11:11
DD-YYYY-MMThh+hhmm,23-1976-09T11+1111
DD-YYYY-MMThh+hh,23-1976-09T11+11
DD-YYYY-MMThh-hh:mm,23-1976-09T11-11:11
DD-YYYY-MMThh-hhmm,23-1976-09T11-1111
DD-YYYY-MMThh-hh,23-1976-09T11-11
DD-YYYY-MM hhZ,23-1976-09 11Z
DD-YYYY-MM hh+hh:mm,23-1976-09 11+11:11
DD-YYYY-MM hh+hhmm,23-1976-09 11+1111
DD-YYYY-MM hh+hh,23-1976-09 11+11
DD-YYYY-MM hh-hh:mm,23-1976-09 11-11:11
DD-YYYY-MM hh-hhmm,23-1976-09 11-1111
DD-YYYY-MM hh-hh,23-1976-09 11-11
DD-YYYY-MMThhmmZ,23-1976-09T1111Z
DD-YYYY-MMThhmm+hh:mm,23-1976-09T1111+11:11
DD-YYYY-MMThhmm+hhmm,23-1976-09T1111+1111
DD-YYYY-MMThhmm+hh,23-1976-09T1111+11
DD-YYYY-MMThhmm-hh:mm,23-1976-09T1111-11:11
DD-YYYY-MMThhmm-hhmm,23-1976-09T1111-1111
DD-YYYY-MMThhmm-hh,23-1976-09T1111-11
DD-YYYY-MM hhmmZ,23-1976-09 1111Z
DD-YYYY-MM hhmm+hh:mm,23-1976-09 1111+11:11
DD-YYYY-MM hhmm+hhmm,23-1976-09 1111+1111
DD-YYYY-MM hhmm+hh,23-1976-09 1111+11
DD-YYYY-MM hhmm-hh:mm,23-1976-09 1111-11:11
DD-YYYY-MM hhmm-hhmm,23-1976-09 1111-1111
DD-YYYY-MM hhmm-hh,23-1976-09 1111-11
DD-YYYY-MMThhmmssZ,23-1976-09T111111Z
DD-YYYY-MMThhmmss+hh:mm,23-1976-09T111111+11:11
DD-YYYY-MMThhmmss+hhmm,23-1976-09T111111+1111
DD-YYYY-MMThhmmss+hh,23-1976-09T111111+11
DD-YYYY-MMThhmmss-hh:mm,23-1976-09T111111-11:11
DD-YYYY-MMThhmmss-hhmm,23-1976-09T111111-1111
DD-YYYY-MMThhmmss-hh,23-1976-09T111111-11
DD-YYYY-MM hhmmssZ,23-1976-09 111111Z
DD-YYYY-MM hhmmss+hh:mm,23-1976-09 111111+11:11
DD-YYYY-MM hhmmss+hhmm,23-1976-09 111111+1111
DD-YYYY-MM hhmmss+hh,23-1976-09 111111+11
DD-YYYY-MM hhmmss-hh:mm,23-1976-09 111111-11:11
DD-YYYY-MM hhmmss-hhmm,23-1976-09 111111-1111
DD-YYYY-MM hhmmss-hh,23-1976-09 111111-11
DD-YYYY-MMThhmmss.sssZ,23-1976-09T111111.888Z
DD-YYYY-MMThhmmss.sss+hh:mm,23-1976-09T111111.888+11:11
DD-YYYY-MMThhmmss.sss+hhmm,23-1976-09T111111.888+1111
DD-YYYY-MMThhmmss.sss+hh,23-1976-09T111111.888+11
DD-YYYY-MMThhmmss.sss-hh:mm,23-1976-09T111111.888-11:11
DD-YYYY-MMThhmmss.sss-hhmm,23-1976-09T111111.888-1111
DD-YYYY-MMThhmmss.sss-hh,23-1976-09T111111.888-11
DD-YYYY-MM hhmmss.sssZ,23-1976-09 111111.888Z
DD-YYYY-MM hhmmss.sss+hh:mm,23-1976-09 111111.888+11:11
DD-YYYY-MM hhmmss.sss+hhmm,23-1976-09 111111.888+1111
DD-YYYY-MM hhmmss.sss+hh,23-1976-09 111111.888+11
DD-YYYY-MM hhmmss.sss-hh:mm,23-1976-09 111111.888-11:11
DD-YYYY-MM hhmmss.sss-hhmm,23-1976-09 111111.888-1111
DD-YYYY-MM hhmmss.sss-hh,23-1976-09 111111.888-11
DD-YYYY-MMThh:mmZ,23-1976-09T11:11Z
DD-YYYY-MMThh:mm+hh:mm,23-1976-09T11:11+11:11
DD-YYYY-MMThh:mm+hhmm,23-1976-09T11:11+1111
DD-YYYY-MMThh:mm+hh,23-1976-09T11:11+11
DD-YYYY-MMThh:mm-hh:mm,23-1976-09T11:11-11:11
DD-YYYY-MMThh:mm-hhmm,23-1976-09T11:11-1111
DD-YYYY-MMThh:mm-hh,23-1976-09T11:11-11
DD-YYYY-MM hh:mmZ,23-1976-09 11:11Z
DD-YYYY-MM hh:mm+hh:mm,23-1976-09 11:11+11:11
DD-YYYY-MM hh:mm+hhmm,23-1976-09 11:11+1111
DD-YYYY-MM hh:mm+hh,23-1976-09 11:11+11
DD-YYYY-MM hh:mm-hh:mm,23-1976-09 11:11-11:11
DD-YYYY-MM hh:mm-hhmm,23-1976-09 11:11-1111
DD-YYYY-MM hh:mm-hh,23-1976-09 11:11-11
DD-YYYY-MMThh:mm:ssZ,23-1976-09T11:11:11Z
DD-YYYY-MMThh:mm:ss+hh:mm,23-1976-09T11:11:11+11:11
DD-YYYY-MMThh:mm:ss+hhmm,23-1976-09T11:11:11+1111
DD-YYYY-MMThh:mm:ss+hh,23-1976-09T11:11:11+11
DD-YYYY-MMThh:mm:ss-hh:mm,23-1976-09T11:11:11-11:11
DD-YYYY-MMThh:mm:ss-hhmm,23-1976-09T11:11:11-1111
DD-YYYY-MMThh:mm:ss-hh,23-1976-09T11:11:11-11
DD-YYYY-MM hh:mm:ssZ,23-1976-09 11:11:11Z
DD-YYYY-MM hh:mm:ss+hh:mm,23-1976-09 11:11:11+11:11
DD-YYYY-MM hh:mm:ss+hhmm,23-1976-09 11:11:11+1111
DD-YYYY-MM hh:mm:ss+hh,23-1976-09 11:11:11+11
DD-YYYY-MM hh:mm:ss-hh:mm,23-1976-09 11:11:11-11:11
DD-YYYY-MM hh:mm:ss-hhmm,23-1976-09 11:11:11-1111
DD-YYYY-MM hh:mm:ss-hh,23-1976-09 11:11:11-11
DD-YYYY-MMThh:mm:ss.sssZ,23-1976-09T11:11:11.888Z
DD-YYYY-MMThh:mm:ss.sss+hh:mm,23-1976-09T11:11:11.888+11:11
DD-YYYY-MMThh:mm:ss.sss+hhmm,23-1976-09T11:11:11.888+1111
DD-YYYY-MMThh:mm:ss.sss+hh,23-1976-09T11:11:11.888+11
DD-YYYY-MMThh:mm:ss.sss-hh:mm,23-1976-09T11:11:11.888-11:11
DD-YYYY-MMThh:mm:ss.sss-hhmm,23-1976-09T11:11:11.888-1111
DD-YYYY-MMThh:mm:ss.sss-hh,23-1976-09T11:11:11.888-11
DD-YYYY-MM hh:mm:ss.sssZ,23-1976-09 11:11:11.888Z
DD-YYYY-MM hh:mm:ss.sss+hh:mm,23-1976-09 11:11:11.888+11:11
DD-YYYY-MM hh:mm:ss.sss+hhmm,23-1976-09 11:11:11.888+1111
DD-YYYY-MM hh:mm:ss.sss+hh,23-1976-09 11:11:11.888+11
DD-YYYY-MM hh:mm:ss.sss-hh:mm,23-1976-09 11:11:11.888-11:11
DD-YYYY-MM hh:mm:ss.sss-hhmm,23-1976-09 11:11:11.888-1111
DD-YYYY-MM hh:mm:ss.sss-hh,23-1976-09 11:11:11.888-11
DDMMYYYYThhZ,23091976T11Z
DDMMYYYYThh+hh:mm,23091976T11+11:11
DDMMYYYYThh+hhmm,23091976T11+1111
DDMMYYYYThh+hh,23091976T11+11
DDMMYYYYThh-hh:mm,23091976T11-11:11
DDMMYYYYThh-hhmm,23091976T11-1111
DDMMYYYYThh-hh,23091976T11-11
DDMMYYYY hhZ,23091976 11Z
DDMMYYYY hh+hh:mm,23091976 11+11:11
DDMMYYYY hh+hhmm,23091976 11+1111
DDMMYYYY hh+hh,23091976 11+11
DDMMYYYY hh-hh:mm,23091976 11-11:11
DDMMYYYY hh-hhmm,23091976 11-1111
DDMMYYYY hh-hh,23091976 11-11
DDMMYYYYThhmmZ,23091976T1111Z
DDMMYYYYThhmm+hh:mm,23091976T1111+11:11
DDMMYYYYThhmm+hhmm,23091976T1111+1111
DDMMYYYYThhmm+hh,23091976T1111+11
DDMMYYYYThhmm-hh:mm,23091976T1111-11:11
DDMMYYYYThhmm-hhmm,23091976T1111-1111
DDMMYYYYThhmm-hh,23091976T1111-11
DDMMYYYY hhmmZ,23091976 1111Z
DDMMYYYY hhmm+hh:mm,23091976 1111+11:11
DDMMYYYY hhmm+hhmm,23091976 1111+1111
DDMMYYYY hhmm+hh,23091976 1111+11
DDMMYYYY hhmm-hh:mm,23091976 1111-11:11
DDMMYYYY hhmm-hhmm,23091976 1111-1111
DDMMYYYY hhmm-hh,23091976 1111-11
DDMMYYYYThhmmssZ,23091976T111111Z
DDMMYYYYThhmmss+hh:mm,23091976T111111+11:11
DDMMYYYYThhmmss+hhmm,23091976T111111+1111
DDMMYYYYThhmmss+hh,23091976T111111+11
DDMMYYYYThhmmss-hh:mm,23091976T111111-11:11
DDMMYYYYThhmmss-hhmm,23091976T111111-1111
DDMMYYYYThhmmss-hh,23091976T111111-11
DDMMYYYY hhmmssZ,23091976 111111Z
DDMMYYYY hhmmss+hh:mm,23091976 111111+11:11
DDMMYYYY hhmmss+hhmm,23091976 111111+1111
DDMMYYYY hhmmss+hh,23091976 111111+11
DDMMYYYY hhmmss-hh:mm,23091976 111111-11:11
DDMMYYYY hhmmss-hhmm,23091976 111111-1111
DDMMYYYY hhmmss-hh,23091976 111111-11
DDMMYYYYThhmmss.sssZ,23091976T111111.888Z
DDMMYYYYThhmmss.sss+hh:mm,23091976T111111.888+11:11
DDMMYYYYThhmmss.sss+hhmm,23091976T111111.888+1111
DDMMYYYYThhmmss.sss+hh,23091976T111111.888+11
DDMMYYYYThhmmss.sss-hh:mm,23091976T111111.888-11:11
DDMMYYYYThhmmss.sss-hhmm,23091976T111111.888-1111
DDMMYYYYThhmmss.sss-hh,23091976T111111.888-11
DDMMYYYY hhmmss.sssZ,23091976 111111.888Z
DDMMYYYY hhmmss.sss+hh:mm,23091976 111111.888+11:11
DDMMYYYY hhmmss.sss+hhmm,23091976 111111.888+1111
DDMMYYYY hhmmss.sss+hh,23091976 111111.888+11
DDMMYYYY hhmmss.sss-hh:mm,23091976 111111.888-11:11
DDMMYYYY hhmmss.sss-hhmm,23091976 111111.888-1111
DDMMYYYY hhmmss.sss-hh,23091976 111111.888-11
DDMMYYYYThh:mmZ,23091976T11:11Z
DDMMYYYYThh:mm+hh:mm,23091976T11:11+11:11
DDMMYYYYThh:mm+hhmm,23091976T11:11+1111
DDMMYYYYThh:mm+hh,23091976T11:11+11
DDMMYYYYThh:mm-hh:mm,23091976T11:11-11:11
DDMMYYYYThh:mm-hhmm,23091976T11:11-1111
DDMMYYYYThh:mm-hh,23091976T11:11-11
DDMMYYYY hh:mmZ,23091976 11:11Z
DDMMYYYY hh:mm+hh:mm,23091976 11:11+11:11
DDMMYYYY hh:mm+hhmm,23091976 11:11+1111
DDMMYYYY hh:mm+hh,23091976 11:11+11
DDMMYYYY hh:mm-hh:mm,23091976 11:11-11:11
DDMMYYYY hh:mm-hhmm,23091976 11:11-1111
DDMMYYYY hh:mm-hh,23091976 11:11-11
DDMMYYYYThh:mm:ssZ,23091976T11:11:11Z
DDMMYYYYThh:mm:ss+hh:mm,23091976T11:11:11+11:11
DDMMYYYYThh:mm:ss+hhmm,23091976T11:11:11+1111
DDMMYYYYThh:mm:ss+hh,23091976T11:11:11+11
DDMMYYYYThh:mm:ss-hh:mm,23091976T11:11:11-11:11
DDMMYYYYThh:mm:ss-hhmm,23091976T11:11:11-1111
DDMMYYYYThh:mm:ss-hh,23091976T11:11:11-11
DDMMYYYY hh:mm:ssZ,23091976 11:11:11Z
DDMMYYYY hh:mm:ss+hh:mm,23091976 11:11:11+11:11
DDMMYYYY hh:mm:ss+hhmm,23091976 11:11:11+1111
DDMMYYYY hh:mm:ss+hh,23091976 11:11:11+11
DDMMYYYY hh:mm:ss-hh:mm,23091976 11:11:11-11:11
DDMMYYYY hh:mm:ss-hhmm,23091976 11:11:11-1111
DDMMYYYY hh:mm:ss-hh,23091976 11:11:11-11
DDMMYYYYThh:mm:ss.sssZ,23091976T11:11:11.888Z
DDMMYYYYThh:mm:ss.sss+hh:mm,23091976T11:11:11.888+11:11
DDMMYYYYThh:mm:ss.sss+hhmm,23091976T11:11:11.888+1111
DDMMYYYYThh:mm:ss.sss+hh,23091976T11:11:11.888+11
DDMMYYYYThh:mm:ss.sss-hh:mm,23091976T11:11:11.888-11:11
DDMMYYYYThh:mm:ss.sss-hhmm,23091976T11:11:11.888-1111
DDMMYYYYThh:mm:ss.sss-hh,23091976T11:11:11.888-11
DDMMYYYY hh:mm:ss.sssZ,23091976 11:11:11.888Z
DDMMYYYY hh:mm:ss.sss+hh:mm,23091976 11:11:11.888+11:11
DDMMYYYY hh:mm:ss.sss+hhmm,23091976 11:11:11.888+1111
DDMMYYYY hh:mm:ss.sss+hh,23091976 11:11:11.888+11
DDMMYYYY hh:mm:ss.sss-hh:mm,23091976 11:11:11.888-11:11
DDMMYYYY hh:mm:ss.sss-hhmm,23091976 11:11:11.888-1111
DDMMYYYY hh:mm:ss.sss-hh,23091976 11:11:11.888-11
DD/MM/YYYYThhZ,23/09/1976T11Z
DD/MM/YYYYThh+hh:mm,23/09/1976T11+11:11
DD/MM/YYYYThh+hhmm,23/09/1976T11+1111
DD/MM/YYYYThh+hh,23/09/1976T11+11
DD/MM/YYYYThh-hh:mm,23/09/1976T11-11:11
DD/MM/YYYYThh-hhmm,23/09/1976T11-1111
DD/MM/YYYYThh-hh,23/09/1976T11-11
DD/MM/YYYY hhZ,23/09/1976 11Z
DD/MM/YYYY hh+hh:mm,23/09/1976 11+11:11
DD/MM/YYYY hh+hhmm,23/09/1976 11+1111
DD/MM/YYYY hh+hh,23/09/1976 11+11
DD/MM/YYYY hh-hh:mm,23/09/1976 11-11:11
DD/MM/YYYY hh-hhmm,23/09/1976 11-1111
DD/MM/YYYY hh-hh,23/09/1976 11-11
DD/MM/YYYYThhmmZ,23/09/1976T1111Z
DD/MM/YYYYThhmm+hh:mm,23/09/1976T1111+11:11
DD/MM/YYYYThhmm+hhmm,23/09/1976T1111+1111
DD/MM/YYYYThhmm+hh,23/09/1976T1111+11
DD/MM/YYYYThhmm-hh:mm,23/09/1976T1111-11:11
DD/MM/YYYYThhmm-hhmm,23/09/1976T1111-1111
DD/MM/YYYYThhmm-hh,23/09/1976T1111-11
DD/MM/YYYY hhmmZ,23/09/1976 1111Z
DD/MM/YYYY hhmm+hh:mm,23/09/1976 1111+11:11
DD/MM/YYYY hhmm+hhmm,23/09/1976 1111+1111
DD/MM/YYYY hhmm+hh,23/09/1976 1111+11
DD/MM/YYYY hhmm-hh:mm,23/09/1976 1111-11:11
DD/MM/YYYY hhmm-hhmm,23/09/1976 1111-1111
DD/MM/YYYY hhmm-hh,23/09/1976 1111-11
DD/MM/YYYYThhmmssZ,23/09/1976T111111Z
DD/MM/YYYYThhmmss+hh:mm,23/09/1976T111111+11:11
DD/MM/YYYYThhmmss+hhmm,23/09/1976T111111+1111
DD/MM/YYYYThhmmss+hh,23/09/1976T111111+11
DD/MM/YYYYThhmmss-hh:mm,23/09/1976T111111-11:11
DD/MM/YYYYThhmmss-hhmm,23/09/1976T111111-1111
DD/MM/YYYYThhmmss-hh,23/09/1976T111111-11
DD/MM/YYYY hhmmssZ,23/09/1976 111111Z
DD/MM/YYYY hhmmss+hh:mm,23/09/1976 111111+11:11
DD/MM/YYYY hhmmss+hhmm,23/09/1976 111111+1111
DD/MM/YYYY hhmmss+hh,23/09/1976 111111+11
DD/MM/YYYY hhmmss-hh:mm,23/09/1976 111111-11:11
DD/MM/YYYY hhmmss-hhmm,23/09/1976 111111-1111
DD/MM/YYYY hhmmss-hh,23/09/1976 111111-11
DD/MM/YYYYThhmmss.sssZ,23/09/1976T111111.888Z
DD/MM/YYYYThhmmss.sss+hh:mm,23/09/1976T111111.888+11:11
DD/MM/YYYYThhmmss.sss+hhmm,23/09/1976T111111.888+1111
DD/MM/YYYYThhmmss.sss+hh,23/09/1976T111111.888+11
DD/MM/YYYYThhmmss.sss-hh:mm,23/09/1976T111111.888-11:11
DD/MM/YYYYThhmmss.sss-hhmm,23/09/1976T111111.888-1111
DD/MM/YYYYThhmmss.sss-hh,23/09/1976T111111.888-11
DD/MM/YYYY hhmmss.sssZ,23/09/1976 111111.888Z
DD/MM/YYYY hhmmss.sss+hh:mm,23/09/1976 111111.888+11:11
DD/MM/YYYY hhmmss.sss+hhmm,23/09/1976 111111.888+1111
DD/MM/YYYY hhmmss.sss+hh,23/09/1976 111111.888+11
DD/MM/YYYY hhmmss.sss-hh:mm,23/09/1976 111111.888-11:11
DD/MM/YYYY hhmmss.sss-hhmm,23/09/1976 111111.888-1111
DD/MM/YYYY hhmmss.sss-hh,23/09/1976 111111.888-11
DD/MM/YYYYThh:mmZ,23/09/1976T11:11Z
DD/MM/YYYYThh:mm+hh:mm,23/09/1976T11:11+11:11
DD/MM/YYYYThh:mm+hhmm,23/09/1976T11:11+1111
DD/MM/YYYYThh:mm+hh,23/09/1976T11:11+11
DD/MM/YYYYThh:mm-hh:mm,23/09/1976T11:11-11:11
DD/MM/YYYYThh:mm-hhmm,23/09/1976T11:11-1111
DD/MM/YYYYThh:mm-hh,23/09/1976T11:11-11
DD/MM/YYYY hh:mmZ,23/09/1976 11:11Z
DD/MM/YYYY hh:mm+hh:mm,23/09/1976 11:11+11:11
DD/MM/YYYY hh:mm+hhmm,23/09/1976 11:11+1111
DD/MM/YYYY hh:mm+hh,23/09/1976 11:11+11
DD/MM/YYYY hh:mm-hh:mm,23/09/1976 11:11-11:11
DD/MM/YYYY hh:mm-hhmm,23/09/1976 11:11-1111
DD/MM/YYYY hh:mm-hh,23/09/1976 11:11-11
DD/MM/YYYYThh:mm:ssZ,23/09/1976T11:11:11Z
DD/MM/YYYYThh:mm:ss+hh:mm,23/09/1976T11:11:11+11:11
